HB030,HB030_new
200807,20080700
200810,20081000
200811,20081100
200814,20081400
200815,20081500
200817,20081700
200818,20081800
200822,20082200
200823,20082300
200824,20082400
200826,20082600
200828,20082800
200829,20082900
200833,20083300
200834,20083400
200835,20083500
200836,20083600
200838,20083800
200839,20083900
200841,20084100
200842,20084200
200846,20084600
200847,20084700
200848,20084800
200849,20084900
200850,20085000
200851,20085100
200852,20085200
200853,20085300
200854,20085400
200857,20085700
200858,20085800
200859,20085900
200863,20086300
200867,20086700
200868,20086800
200869,20086900
200870,20087000
200872,20087200
200873,20087300
200874,20087400
200876,20087600
200877,20087700
200878,20087800
200879,20087900
200880,20088000
200881,20088100
200883,20088300
200887,20088700
200889,20088900
200890,20089000
200892,20089200
200898,20089800
200899,20089900
200900,20090000
200901,20090100
200905,20090500
200906,20090600
200910,20091000
200911,20091100
200912,20091200
200913,20091300
200914,20091400
200916,20091600
200919,20091900
200920,20092000
200921,20092100
200923,20092300
200924,20092400
200925,20092500
200926,20092600
200927,20092700
200928,20092800
200929,20092900
200930,20093000
200931,20093100
200932,20093200
200933,20093300
200934,20093400
200935,20093500
200936,20093600
200939,20093900
200940,20094000
200941,20094100
200944,20094400
200945,20094500
200946,20094600
200947,20094700
200949,20094900
200950,20095000
200951,20095100
200952,20095200
200954,20095400
200960,20096000
200962,20096200
200969,20096900
200971,20097100
200972,20097200
200974,20097400
200975,20097500
200978,20097800
200980,20098000
200981,20098100
